customer_id,age,region,tenure_months,is_premium,monthly_spend,avg_txn_value,txns_last_30d,days_since_last_purchase,customer_service_calls,discounts_used_90d,complaints_90d,churn
44,38,South,64,1,129.66,31.88,5,48,2,1,0,0
45,21,North,68,0,68.85,31.71,3,28,1,3,1,0
46,73,West,54,0,100.35,28.12,2,39,0,5,0,0
47,43,North,20,0,69.88,24.86,12,43,0,2,1,1
48,68,West,48,0,81.01,18.0,2,22,0,1,2,0
49,56,North,62,0,98.39,20.75,3,48,0,1,0,0
50,62,West,58,1,82.86,39.66,5,69,2,3,0,0
51,61,North,31,1,95.33,19.39,6,8,2,1,1,0
52,29,South,51,0,86.69,6.28,2,99,0,0,0,0
53,38,East,28,0,75.21,30.55,8,7,1,2,0,0
54,44,North,19,0,48.99,20.73,2,47,0,3,0,0
55,46,West,48,0,90.7,28.75,2,77,0,1,0,0
56,20,North,34,0,92.9,37.61,5,112,0,5,2,1
57,49,East,16,1,94.11,26.9,5,42,1,2,0,0
58,26,East,47,1,100.06,21.64,4,58,0,3,0,0
59,60,East,23,1,131.84,32.79,6,79,0,0,0,0
60,56,North,42,0,67.13,19.52,4,45,0,2,0,0
61,70,North,26,1,104.6,34.8,6,85,1,0,0,0
62,60,North,63,0,95.15,29.3,4,29,3,3,1,0
63,38,South,61,1,140.68,37.61,9,66,0,2,0,0
64,73,North,34,1,102.8,35.37,7,6,0,4,0,0
65,41,West,51,0,94.52,33.47,7,37,0,3,0,1
66,36,South,13,1,94.09,40.37,7,63,0,0,0,0
67,69,East,71,0,79.63,23.55,2,33,1,4,0,0
68,39,South,16,0,54.97,30.08,3,31,2,3,1,1
69,22,North,62,1,106.86,22.64,10,14,3,1,2,0
70,44,South,61,1,124.86,43.51,6,77,1,2,0,0
71,63,South,13,1,90.0,35.18,10,18,0,1,0,0
72,28,South,1,0,57.4,15.39,4,59,2,3,0,0
73,44,South,53,0,107.08,21.67,3,109,0,2,0,0
74,25,South,62,0,61.26,33.3,3,51,1,6,0,1
75,57,West,51,1,86.06,28.86,8,69,0,2,1,0
76,45,North,4,0,24.55,28.28,3,67,2,5,0,1
77,36,South,46,1,121.12,42.03,9,25,0,3,0,0
78,30,North,28,0,72.55,25.2,5,53,0,4,0,0
79,50,South,66,0,107.49,18.08,7,73,1,2,0,0
80,56,East,57,0,86.86,24.49,6,99,0,3,1,0
81,71,North,57,0,103.85,13.72,2,77,3,7,1,1
82,42,East,29,1,92.6,31.09,9,3,1,0,0,0
83,27,South,23,0,77.65,16.14,4,33,2,4,1,0
84,65,North,59,0,93.45,24.62,5,92,2,5,0,0
85,53,West,9,1,89.57,24.85,4,57,2,0,0,0
86,57,South,8,1,109.27,35.67,5,69,1,1,0,0
87,23,West,5,1,58.13,44.06,9,44,3,1,0,0
88,35,South,37,0,77.47,34.57,7,55,3,4,0,0
89,61,West,6,1,85.97,25.04,10,67,4,2,0,0
90,65,South,42,0,81.72,19.67,6,73,1,2,1,1
91,42,South,12,1,80.03,41.82,4,75,1,2,0,0
92,63,East,64,1,103.98,40.63,9,33,1,2,0,0
93,65,South,31,1,118.45,30.08,7,51,1,1,0,1
94,40,South,7,1,82.44,31.11,4,16,1,0,0,0
95,69,West,50,1,141.57,35.66,9,32,1,0,0,0
96,34,East,25,0,80.42,10.33,11,9,1,3,0,0
97,31,East,19,1,85.16,39.2,3,6,2,0,1,0
98,56,East,47,0,91.79,33.66,4,54,0,2,0,0
99,54,West,68,1,115.63,31.89,2,70,3,1,0,0
100,25,West,70,1,135.13,23.65,9,56,0,2,0,0
101,65,East,31,0,57.98,36.3,3,66,1,2,0,0
102,29,South,61,0,63.48,26.76,8,18,0,3,0,0
103,63,North,15,1,92.91,40.67,7,18,1,1,0,0
104,18,East,61,1,123.04,24.43,7,8,0,1,0,0
105,63,West,67,0,97.79,14.46,4,56,3,5,2,0
106,62,South,37,1,108.59,38.31,6,88,1,2,0,1
107,62,North,38,1,106.88,43.22,8,33,1,2,0,1
108,55,South,41,0,58.29,15.97,7,40,1,1,1,1
109,44,South,6,0,67.22,24.19,6,105,3,2,0,1
110,58,West,61,1,130.25,22.3,7,12,1,2,0,0
111,33,North,53,0,89.08,19.39,4,28,1,1,0,0
112,62,East,62,0,71.35,22.94,11,44,0,3,0,0
113,49,East,9,1,79.49,38.91,7,38,1,0,0,0
114,44,West,57,1,116.85,18.15,8,45,1,0,1,0
115,46,North,26,1,119.93,45.56,5,44,3,1,0,1
116,50,West,59,1,80.15,33.64,5,0,0,2,0,0
117,20,East,71,0,100.92,35.36,2,27,0,2,0,0
118,25,East,63,1,97.52,40.59,6,7,2,2,0,0
119,31,North,66,1,120.62,41.82,8,34,1,1,0,0
120,24,South,9,1,93.32,51.16,7,72,0,2,0,0
121,43,East,24,1,88.5,28.75,7,87,1,1,0,0
122,56,South,21,1,99.97,36.08,6,83,2,2,0,0
123,55,South,37,0,95.6,17.07,4,57,0,4,0,0
124,44,East,70,0,92.53,24.18,5,94,3,0,1,0
125,66,East,49,1,84.44,40.76,13,54,0,0,0,0
126,50,North,39,0,100.88,34.02,7,39,0,4,0,0
127,22,South,58,1,121.43,31.94,5,50,3,0,0,0
128,61,North,13,0,74.96,15.36,2,65,0,2,1,0
129,50,West,47,1,93.14,35.59,9,25,0,4,0,0
130,54,West,36,0,92.78,18.18,5,21,0,0,0,0
131,50,South,15,1,118.14,30.38,7,25,1,1,0,0
132,49,North,46,1,101.18,40.37,8,58,0,1,0,0
133,23,North,60,0,91.42,28.89,6,36,0,1,0,0
134,49,South,59,0,73.52,31.67,7,82,0,2,0,0
135,63,West,60,1,99.21,32.3,8,40,2,1,0,0
136,35,South,58,1,92.88,43.07,10,50,1,2,0,0
137,52,North,34,1,98.96,35.11,5,82,2,0,0,0
138,19,North,4,0,56.89,22.73,4,29,0,2,1,0
139,37,North,69,0,100.09,16.21,5,38,0,0,0,0
140,42,West,33,0,63.12,8.28,0,73,2,4,0,0
141,74,East,45,1,99.99,22.49,1,7,0,3,0,0
142,30,East,2,0,46.7,26.72,4,85,2,2,0,1
143,33,South,64,0,94.81,17.74,4,19,1,4,1,0
144,41,West,64,1,87.52,21.84,6,20,1,1,0,0
145,74,South,66,1,115.27,31.64,6,10,1,1,0,0
146,66,West,13,0,62.32,27.24,3,85,2,3,0,0
147,19,West,60,0,92.71,28.32,2,72,0,4,0,0
148,31,South,45,0,57.72,24.77,4,38,0,2,0,0
149,64,West,11,1,95.32,34.51,6,33,2,1,0,0
150,21,North,41,0,76.02,20.69,3,51,1,3,1,0
151,66,East,34,1,100.26,40.07,8,33,0,5,0,0
152,34,North,45,1,74.45,33.59,9,26,2,1,0,0
153,70,South,6,0,44.36,24.39,3,69,2,0,0,1
154,34,North,41,0,74.65,33.3,3,50,2,5,0,0
155,42,North,49,1,125.13,41.34,6,38,1,1,0,0
156,55,North,51,1,113.41,33.52,4,28,0,4,0,0
157,25,South,55,1,109.45,32.38,11,50,0,2,0,0
158,49,East,45,0,68.64,22.32,3,33,1,4,1,0
159,46,South,50,1,88.41,18.83,11,23,1,5,0,0
160,62,South,7,0,67.65,33.78,6,58,2,1,0,0
161,74,West,57,0,99.01,19.52,5,62,2,3,0,0
162,55,West,27,1,96.63,41.84,7,77,2,1,0,1
163,41,North,39,1,125.14,35.33,6,10,1,2,0,0
164,41,South,39,1,89.26,46.13,6,6,2,1,0,0
165,41,East,70,0,97.69,29.24,3,58,0,3,1,0
166,64,East,24,1,66.6,42.3,4,26,0,0,1,0
167,36,South,28,0,77.17,20.26,5,112,1,4,0,0
168,27,East,54,0,109.04,14.72,3,32,1,3,0,0
169,37,North,46,0,67.38,26.18,3,46,2,3,0,0
170,19,South,23,1,104.13,19.66,7,53,2,1,0,0
171,24,East,25,0,94.12,21.26,2,72,2,3,0,0
172,23,East,59,1,99.15,25.48,10,8,3,2,0,0
173,61,West,60,1,117.0,28.28,8,87,1,2,0,0
174,59,North,11,1,109.19,39.77,3,4,2,2,0,0
175,57,North,29,1,97.96,39.24,11,61,1,2,0,0
176,44,North,55,0,99.3,23.7,3,37,1,2,0,0
177,58,North,9,0,37.89,27.56,3,92,0,3,0,1
178,27,North,14,0,75.96,20.67,1,42,0,5,1,0
179,69,South,12,1,93.76,54.41,4,85,6,3,1,1
180,46,South,38,0,59.11,27.41,3,54,1,1,1,0
181,71,East,33,0,62.04,20.28,2,54,0,4,0,0
182,26,South,23,1,100.56,42.0,5,31,1,0,0,0
183,46,North,10,0,60.46,34.92,11,50,3,1,0,0
184,57,East,46,1,119.68,28.81,7,86,1,2,0,0
185,46,North,58,0,93.66,13.65,3,53,1,1,0,0
186,43,West,16,0,68.85,15.24,6,46,2,0,0,0
187,27,North,48,0,81.44,19.64,1,105,1,1,0,0
188,39,South,57,0,92.89,24.57,4,57,2,0,0,0
189,31,West,40,0,92.04,11.97,5,107,2,2,0,1
190,35,East,41,0,88.51,21.65,2,58,0,1,0,0
191,56,East,12,0,59.65,23.34,4,88,1,3,0,1
192,53,East,68,0,112.59,27.6,5,43,2,3,1,0
193,52,North,68,0,103.87,29.89,2,40,1,3,0,0
194,38,East,51,1,111.28,38.21,13,38,1,2,0,0
195,72,West,65,1,113.88,49.34,4,31,0,4,0,0
196,22,West,44,0,89.5,33.75,3,54,0,1,0,0
197,37,South,47,1,76.02,36.78,10,9,0,2,0,0
198,24,South,59,0,93.12,17.24,4,91,1,4,0,0
199,37,East,3,0,86.1,19.6,4,90,1,1,0,1
200,72,East,16,0,71.3,13.57,3,34,0,2,0,0
201,38,North,15,0,68.75,26.23,6,23,1,1,1,0
202,69,North,45,0,73.56,27.65,3,51,1,2,0,0
203,46,North,18,1,96.39,42.14,3,62,2,1,0,0
204,57,South,28,1,91.07,37.14,7,68,0,0,0,0
205,44,North,36,0,97.64,33.43,2,39,2,1,0,0
206,33,North,53,0,73.55,33.6,5,108,1,2,0,0
207,61,North,37,1,91.72,26.78,4,12,0,3,0,0
208,73,West,2,1,71.99,30.86,5,23,0,2,0,0
209,33,North,49,0,112.02,24.91,2,62,1,2,0,0
210,62,North,31,1,92.65,29.35,14,49,0,0,0,0
211,32,South,9,0,56.28,23.05,4,36,1,8,0,0
212,58,North,47,1,72.14,37.41,5,8,2,4,0,0
213,62,West,20,1,76.33,34.02,8,8,3,2,0,0
214,43,West,33,0,84.42,25.0,12,89,1,4,1,0
215,60,South,69,1,122.36,27.46,8,63,1,3,0,0
216,33,South,17,1,78.73,39.05,3,28,3,1,0,0
217,22,South,63,1,102.57,38.47,9,6,0,0,0,0
218,23,North,33,1,124.4,28.9,11,35,2,1,0,0
219,43,South,67,1,153.95,24.65,6,67,0,1,0,0
220,69,North,61,0,107.75,34.84,2,20,1,0,1,0
221,25,North,60,1,133.39,48.99,5,44,1,1,0,0
222,43,East,15,1,114.07,36.88,9,57,2,0,0,0
223,58,North,57,1,141.72,32.11,7,71,1,1,0,0
224,29,North,27,0,68.97,33.37,6,13,1,1,1,0
225,59,South,65,1,99.33,38.76,4,32,0,1,0,0
226,35,South,71,0,123.0,23.31,2,67,1,0,1,1
227,64,North,44,1,87.54,42.74,12,69,0,0,0,0
228,51,North,65,0,77.07,18.52,5,76,1,2,1,0
229,49,North,38,0,63.92,19.47,2,57,1,8,0,0
230,28,North,3,1,79.53,37.91,8,76,1,0,0,0
231,44,West,63,0,61.73,25.91,4,33,1,3,0,0
232,66,West,38,0,57.5,30.1,3,85,0,1,0,0
233,19,South,4,0,52.66,34.55,3,111,1,4,0,1
234,61,South,5,0,44.56,12.58,1,42,4,2,0,0
235,46,East,52,0,101.94,25.31,3,90,0,1,0,0
236,59,East,66,0,93.1,40.21,1,60,0,3,0,0
237,55,North,50,1,113.66,30.23,6,26,2,2,0,0
238,42,North,32,0,83.01,19.28,4,19,1,5,0,0
239,35,South,22,0,67.9,7.07,2,77,2,3,0,1
240,53,East,30,0,89.82,25.81,11,54,3,2,1,1
241,25,North,23,1,98.28,39.64,5,86,3,1,0,0
242,51,South,20,1,85.22,39.63,4,8,2,2,0,0
243,23,South,10,0,39.74,16.7,2,6,4,5,0,0
244,55,North,41,0,88.31,24.93,3,104,0,3,0,0
245,53,South,16,0,49.08,26.77,4,102,2,0,0,0
246,22,East,11,1,91.2,35.42,8,75,4,1,0,0
247,61,South,20,0,71.18,16.24,3,29,1,1,0,0
248,41,North,57,1,88.09,35.62,8,46,1,0,0,0
249,62,North,41,1,104.38,28.48,10,14,2,2,0,0
250,20,West,35,1,100.37,20.02,4,49,0,3,0,0
251,28,South,43,1,104.42,40.45,7,30,2,2,0,0
252,46,North,41,1,102.7,36.12,8,47,0,1,0,0
253,28,North,36,0,68.21,29.74,1,72,2,1,0,0
254,36,West,60,0,98.87,20.72,0,60,0,4,0,0
255,55,East,52,0,75.69,30.01,5,15,2,4,0,0
256,26,West,14,1,70.88,43.18,8,66,0,1,0,0
257,56,East,59,0,99.62,39.03,3,74,2,6,1,1
258,23,South,13,0,80.55,31.51,4,95,2,3,0,1
259,27,South,6,1,92.09,38.08,6,35,3,0,0,0
260,51,North,30,0,71.89,13.96,2,28,0,2,1,1
261,63,East,28,0,44.91,24.15,4,94,2,3,0,1
262,27,East,56,0,110.23,13.62,4,51,0,3,1,0
263,35,North,50,1,75.67,28.45,8,50,1,2,0,0
264,70,West,5,1,91.29,50.64,3,75,2,2,0,0
265,74,South,36,1,129.65,26.82,6,25,1,2,1,0
266,51,North,57,1,110.74,16.26,7,10,1,4,0,0
267,43,South,53,0,90.87,31.51,3,97,2,2,0,0
268,37,West,36,0,83.69,19.62,9,58,2,5,0,0
269,52,West,44,1,104.97,41.14,9,35,0,0,0,0
270,51,South,40,1,135.26,25.64,5,21,1,2,0,0
271,34,West,17,0,55.85,21.59,4,92,2,4,0,0
272,19,West,41,0,65.97,34.57,2,39,1,0,0,0
273,26,West,48,0,79.09,14.42,1,24,0,2,0,0
274,72,West,4,0,88.11,23.65,5,40,1,5,0,0
275,41,South,50,1,96.35,37.33,10,18,1,0,1,0
276,45,East,18,0,75.45,19.25,8,87,1,3,0,1
277,44,East,1,1,96.57,36.94,8,54,1,1,0,0
278,62,East,54,1,118.68,35.13,6,10,2,0,1,0
279,21,North,28,1,109.27,39.28,1,65,2,1,0,0
280,22,East,30,0,96.27,39.74,3,43,1,4,0,0
281,33,West,45,1,107.12,56.4,6,89,0,2,0,0
282,45,South,40,0,73.14,28.71,4,75,0,2,1,1
283,56,West,45,1,104.71,34.12,5,62,2,1,0,0
284,45,South,68,0,88.91,28.53,2,73,0,6,0,0
285,43,North,47,1,141.32,33.14,4,50,1,2,2,0
286,71,North,4,1,74.01,22.3,7,58,1,0,0,0
287,27,West,16,0,75.25,24.63,8,74,1,5,1,0
288,50,East,32,1,73.49,43.66,5,49,3,0,0,0
289,48,South,34,1,98.99,23.28,9,72,1,1,0,1
290,44,East,26,0,68.69,17.12,5,29,0,3,0,0
291,64,South,14,1,97.14,30.34,7,87,2,2,0,0
292,33,South,8,1,94.53,37.98,7,87,1,6,0,1
293,72,West,11,0,86.75,44.02,6,62,2,6,1,0
294,36,East,68,1,134.06,28.53,9,65,1,1,0,0
295,49,East,29,1,93.51,35.73,6,39,3,2,0,0
296,47,East,69,0,80.33,25.05,4,37,0,2,0,0
297,66,West,24,1,79.59,32.59,8,63,0,2,0,0
298,43,North,23,0,76.04,24.62,5,31,0,3,0,0
299,34,North,35,1,99.87,31.28,6,8,0,2,0,0
300,19,North,68,1,117.87,56.94,7,57,1,2,0,0
301,38,East,40,0,71.97,31.0,3,50,0,1,0,0
302,65,East,3,0,83.06,21.35,1,75,0,2,1,1
303,18,East,20,0,47.91,34.47,3,53,1,2,0,0
304,69,South,70,0,86.14,27.05,4,59,2,2,0,0
305,48,North,11,0,49.34,25.46,6,28,0,2,1,1
306,25,East,60,1,106.87,33.54,4,34,1,3,0,0
307,35,West,66,1,131.7,33.0,6,60,1,0,0,0
308,49,South,16,1,83.68,25.24,11,85,0,3,0,0
309,35,North,40,1,101.52,21.61,9,56,0,0,0,0
310,24,South,43,1,111.46,37.97,6,15,1,2,0,1
311,55,South,57,0,83.47,23.46,6,38,0,2,0,0
312,56,North,57,1,114.24,42.02,5,18,2,2,0,0
313,24,South,5,1,86.26,27.88,6,12,3,3,0,0
314,34,East,23,0,54.54,16.22,2,47,2,2,0,1
315,31,South,67,0,86.54,31.21,2,39,1,5,0,0
316,55,South,26,1,98.32,32.64,6,73,3,1,1,1
317,59,North,18,0,88.23,31.85,6,37,0,1,0,1
318,59,West,45,0,101.72,25.27,0,96,0,5,0,0
319,71,South,14,0,98.43,40.02,1,95,1,0,0,0
320,61,South,11,1,92.78,41.05,4,29,2,0,0,0
321,36,North,57,0,82.3,28.28,5,88,0,4,0,1
322,24,East,9,0,63.54,31.4,5,25,4,2,1,1
323,53,West,64,0,90.29,22.82,2,76,0,4,0,0
324,70,North,18,0,62.88,11.86,1,76,2,3,0,1
325,73,North,8,0,69.74,27.89,5,77,1,1,1,1
326,31,North,53,0,92.94,40.53,3,85,2,3,0,0
327,31,East,13,0,48.89,6.68,5,26,0,5,1,1
328,20,West,27,1,109.82,38.75,6,61,0,0,0,0
329,26,South,25,0,44.95,12.72,4,33,1,1,1,1
330,49,South,37,1,95.16,34.81,4,8,1,0,0,0
331,49,East,34,0,94.24,25.64,4,77,2,1,0,1
332,39,East,14,1,96.11,40.97,13,36,1,2,1,0
333,35,North,17,0,63.15,26.68,5,45,0,4,0,1
334,65,North,14,0,96.53,35.99,2,60,1,1,0,0
335,44,South,4,0,55.4,34.33,3,35,0,3,0,0
336,64,East,47,0,53.47,23.43,3,17,2,0,0,0
337,72,East,34,1,103.79,43.76,5,79,2,0,0,1
338,36,East,8,1,57.32,32.5,4,0,0,1,0,0
339,29,West,24,0,59.53,21.12,9,63,2,3,0,0
340,72,North,48,0,93.34,15.36,2,59,1,3,0,0
341,54,South,21,1,83.59,45.5,6,79,0,2,0,0
342,34,North,29,1,103.21,32.6,7,5,1,4,0,0
343,53,West,53,1,89.13,15.63,13,27,0,1,0,0
344,47,East,48,1,116.88,39.34,7,79,2,2,0,1
345,69,South,50,0,59.64,21.53,3,54,1,2,0,0
346,32,North,28,1,113.78,32.61,6,38,1,2,0,0
347,74,East,35,0,70.37,23.13,4,13,1,0,0,0
348,71,East,61,0,113.47,22.31,0,76,1,0,0,0
349,28,East,62,1,98.39,56.82,9,79,1,0,0,0
350,27,North,4,1,110.87,48.3,3,89,1,0,0,0
351,48,West,60,1,95.64,40.59,6,33,3,1,0,0
352,20,East,64,1,85.09,36.93,6,10,1,2,0,0
353,35,East,67,1,114.15,44.03,6,46,0,0,0,0
354,42,East,20,1,108.51,36.95,8,74,4,5,0,1
355,73,West,36,1,109.86,41.53,6,40,0,1,0,0
356,74,West,4,1,99.44,39.47,6,12,1,1,0,0
357,26,East,8,0,76.16,26.03,2,67,0,2,1,0
358,68,South,40,0,67.7,32.52,1,89,0,1,0,1
359,23,South,15,0,79.0,21.64,5,73,3,6,2,1
360,60,West,16,1,89.39,35.47,4,64,0,0,0,0
361,66,East,22,0,60.35,17.16,0,43,2,1,1,0
362,68,North,33,0,79.19,18.09,3,27,0,1,0,0
363,30,North,11,1,84.66,14.77,7,58,2,2,0,0
364,68,West,57,1,129.74,38.65,9,15,1,0,0,0
365,24,West,48,1,96.28,40.85,8,31,1,2,1,0
366,47,West,57,1,100.08,43.68,5,51,0,0,0,0
367,44,South,66,1,102.52,26.18,6,57,1,2,0,0
368,36,West,43,1,129.95,38.52,6,26,1,3,0,0
369,19,West,26,0,63.36,24.99,2,56,1,2,0,0
370,62,South,70,0,114.45,30.9,9,91,1,2,0,0
371,37,North,41,0,65.03,19.79,1,93,0,2,0,0
372,55,West,33,1,104.1,32.31,5,68,3,1,0,0
373,41,North,30,1,98.94,22.57,8,83,0,2,0,0
374,39,East,3,0,80.0,19.26,1,98,0,1,0,0
375,68,East,68,1,130.33,35.02,4,77,2,0,0,0
376,23,East,59,0,90.73,26.39,3,33,2,5,0,0
377,59,North,50,1,96.94,21.51,5,71,0,1,1,0
378,60,East,16,1,112.37,30.91,12,69,0,2,0,0
379,39,North,66,0,83.45,26.28,3,77,0,1,0,0
380,32,West,13,0,32.48,36.26,1,14,2,1,0,0
381,18,North,18,0,41.12,18.24,1,87,0,1,0,0
382,71,East,5,0,38.27,28.92,4,64,2,2,0,0
383,72,West,21,1,99.44,30.51,7,38,2,4,0,0
384,31,North,24,1,125.22,31.43,5,33,1,3,0,0
385,19,North,57,1,77.9,27.98,5,23,0,1,0,0
386,24,East,24,1,80.26,26.65,6,74,1,1,0,0
387,21,North,68,0,95.34,21.2,3,19,0,0,0,0
388,65,North,22,1,114.18,43.38,1,86,2,0,0,1
389,68,South,38,0,67.18,18.96,1,90,0,1,0,0
390,26,West,43,1,110.36,27.71,8,42,0,0,0,0
391,60,East,59,0,85.75,26.67,4,52,0,4,0,0
392,28,South,54,1,146.11,35.04,2,22,0,0,1,0
393,38,West,62,1,113.17,34.45,8,89,2,0,0,0
394,52,South,67,0,98.84,27.03,3,75,0,1,1,0
395,59,South,9,0,65.76,16.92,4,33,1,3,0,0
396,67,South,7,0,57.28,17.81,3,59,2,0,0,0
397,20,South,32,0,90.25,32.89,4,61,0,4,0,0
398,29,South,11,1,68.11,33.83,11,71,2,1,0,0
399,33,East,36,1,67.97,39.77,8,39,0,1,0,0
400,35,North,42,1,98.75,44.79,10,21,2,1,0,0
401,74,East,20,0,82.23,31.77,3,45,0,1,0,0
402,62,North,7,0,54.79,14.04,1,74,3,3,1,0
403,36,South,69,0,97.3,24.07,4,45,0,3,0,0
404,73,North,27,0,55.19,33.33,4,44,1,1,0,0
405,46,East,60,0,105.94,29.18,3,97,1,4,0,0
406,46,East,45,1,112.28,36.47,7,20,0,0,0,0
407,42,South,48,0,84.3,11.88,4,63,1,0,1,0
408,26,North,56,1,110.53,30.07,4,47,3,3,0,1
409,71,North,19,1,68.6,35.55,9,15,0,0,0,0
410,18,West,16,1,67.77,23.59,7,77,0,3,0,0
411,27,North,71,1,113.67,41.35,9,53,0,4,0,0
412,31,East,48,1,111.71,34.06,6,61,1,0,1,0
413,33,South,21,0,78.97,9.16,7,60,2,4,1,0
414,25,North,46,1,97.56,30.47,8,72,0,1,0,0
415,19,East,28,0,85.18,22.71,2,100,2,6,0,1
416,56,South,62,1,132.31,33.96,2,49,0,3,0,0
417,73,North,37,1,97.17,46.36,1,71,0,2,1,0
418,24,West,23,0,76.14,29.63,6,95,0,3,0,0
419,34,North,50,1,101.88,24.08,5,33,0,2,0,0
420,46,South,54,1,105.11,23.08,10,35,0,1,1,0
421,70,South,27,1,96.04,32.87,7,43,1,3,1,0
422,57,South,54,1,132.55,36.01,3,53,1,1,0,0
423,61,West,17,0,82.23,32.94,3,45,1,5,0,0
424,51,North,17,1,100.88,48.84,5,52,1,0,0,0
425,41,West,59,1,102.69,49.27,12,2,1,1,0,0
426,29,East,45,0,69.03,21.46,8,35,0,2,0,0
427,67,West,3,1,87.34,42.48,7,88,0,5,0,1
428,63,West,48,1,122.66,38.41,5,74,2,2,0,0
429,19,West,22,0,96.85,16.27,4,104,0,0,0,0
430,58,East,20,1,53.21,19.9,10,81,5,2,1,1
431,22,South,31,0,112.2,26.15,4,57,1,1,1,0
432,60,South,33,0,82.75,13.04,3,52,0,2,0,0
433,65,East,64,1,125.63,28.19,8,50,0,1,0,0
434,25,South,31,1,69.4,29.52,7,42,1,3,0,0
435,42,East,22,1,87.45,36.75,6,77,0,2,0,0
436,25,North,55,1,119.84,45.24,4,50,0,1,0,0
437,50,West,39,0,61.88,25.1,3,13,1,4,0,0
438,70,North,1,1,37.18,30.69,3,77,1,1,0,1
439,22,West,45,1,107.53,18.45,3,17,0,0,0,0
440,40,North,36,1,97.25,38.67,8,11,1,1,0,0
441,73,North,41,1,122.12,35.23,4,54,0,0,0,0
442,35,West,14,0,64.6,20.6,6,29,1,2,0,0
443,25,West,34,1,95.7,44.33,6,38,2,2,0,0
444,45,East,46,1,113.47,25.47,6,28,1,1,0,0
445,46,West,49,1,120.0,29.52,13,20,3,2,0,0
446,55,North,49,0,73.87,23.04,8,112,2,3,0,1
447,35,West,71,0,109.67,20.5,3,51,1,1,0,0
448,72,South,36,1,90.17,39.41,7,32,1,3,0,0
449,47,South,31,1,95.75,38.71,9,52,0,4,0,0
450,34,South,39,1,109.56,43.41,4,56,2,8,0,0
451,72,North,24,1,104.68,39.02,8,44,0,1,0,0
452,70,East,23,1,96.27,34.08,7,75,0,0,0,0
453,46,East,50,0,68.79,22.28,2,79,2,2,0,0
454,19,North,23,1,63.45,38.64,8,50,2,0,0,0
455,52,West,54,0,84.18,23.48,3,64,0,1,0,0
456,49,South,53,1,121.07,35.38,10,7,2,1,0,0
457,26,North,68,0,100.75,29.08,7,99,0,0,0,0
458,54,East,10,0,68.63,26.11,7,67,1,0,1,1
459,65,North,26,0,72.89,27.47,3,68,1,1,0,0
460,24,North,55,0,92.14,18.67,5,51,0,3,0,0
461,59,East,31,1,80.59,45.8,12,81,2,0,0,0
